City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
202,Adrar,MR,20.5022,-10.0711,102.25,22,7,7.87,clear sky
203,Sinnamary,GF,5.3833,-52.95,82.69,73,30,6.38,scattered clouds
204,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,65,20,10.36,few clouds
205,Camacha,PT,33.0833,-16.3333,69.22,68,75,18.41,broken clouds
206,Sola,VU,-13.8833,167.55,80.58,79,9,18.5,clear sky
207,Hazorasp,UZ,41.3194,61.0742,94.84,12,0,11.25,clear sky
208,Iwanai,JP,42.9744,140.5089,61.18,92,25,6.08,scattered clouds
209,Haines Junction,CA,60.7522,-137.5108,46.56,79,96,3.4,overcast clouds
210,Pisco,PE,-13.7,-76.2167,63.01,77,100,4.61,smoke
211,Kaeo,NZ,-35.1,173.7833,50.32,95,36,5.32,scattered clouds
212,Goderich,CA,43.7501,-81.7165,75.9,78,14,11.5,few clouds
213,Daoukro,CI,7.0591,-3.9631,80.73,63,92,4.45,overcast clouds
214,Colon,PA,9.3592,-79.9014,82.15,79,99,5.7,overcast clouds
215,Abha,SA,18.2164,42.5053,75.02,68,40,11.5,scattered clouds
216,Lebu,CL,-37.6167,-73.65,52.27,83,89,2.01,overcast clouds
217,Mar Del Plata,AR,-38.0023,-57.5575,56.08,61,93,14.0,overcast clouds
218,Wanning,CN,18.8003,110.3967,80.38,87,83,6.53,broken clouds
219,Vysokogornyy,RU,50.1167,139.15,55.18,96,100,2.77,overcast clouds
220,Padang,ID,-0.9492,100.3543,77.67,89,99,3.33,overcast clouds
221,Mvuma,ZW,-19.2792,30.5283,60.06,58,99,4.27,overcast clouds
222,Ola,RU,59.5833,151.2833,56.52,89,89,1.32,overcast clouds
223,Port Blair,IN,11.6667,92.75,80.64,89,100,2.3,mist
224,Kautokeino,NO,69.0125,23.0412,56.5,95,100,11.36,overcast clouds
225,Nome,US,64.5011,-165.4064,46.47,93,100,3.44,overcast clouds
226,Oga,IT,46.4631,10.347,79.34,57,73,4.85,broken clouds
227,Lufilufi,WS,-13.8745,-171.5986,79.41,74,17,20.54,few clouds
228,Batatais,BR,-20.8911,-47.585,76.98,28,3,5.79,clear sky
229,Palimbang,PH,6.2106,124.1894,78.37,86,100,3.85,overcast clouds
230,Requena,ES,39.4883,-1.1004,82.8,30,0,11.54,clear sky
231,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,100,100,4.47,overcast clouds
232,Guilin,CN,25.2819,110.2864,78.91,91,97,1.16,overcast clouds
233,Songjianghe,CN,42.1859,127.479,60.71,98,100,1.34,overcast clouds
234,Pevek,RU,69.7008,170.3133,31.87,99,100,8.68,light snow
235,Esperance,AU,-33.8667,121.9,55.24,75,59,20.4,broken clouds
236,Cap Malheureux,MU,-19.9842,57.6142,70.47,68,60,8.01,broken clouds
237,Pochutla,MX,15.7432,-96.4661,88.83,59,100,2.57,overcast clouds
238,Corinth,GR,37.9407,22.9573,94.41,30,0,1.01,clear sky
239,Pran Buri,TH,12.3847,99.9098,75.27,93,100,4.65,light rain
240,Campbell River,CA,50.0163,-125.2446,68.45,72,20,11.5,few clouds
241,Shieli,KZ,44.1667,66.75,97.68,15,0,10.33,clear sky
242,Pokhara,NP,28.2333,83.9833,72.09,89,99,3.29,overcast clouds
243,Rock Sound,BS,24.9,-76.2,82.27,75,22,14.97,few clouds
244,Sorkjosen,NO,69.8,20.9333,55.4,88,75,12.66,light rain
245,Sai Buri,TH,6.7013,101.6168,78.51,85,100,2.53,overcast clouds
246,Medea,DZ,36.2642,2.7539,87.84,32,0,10.2,clear sky
